,title,body,answer
0,책임감이 강한 사람은 우울증에 잘 걸린다는데 걱정입니다.,매사에 책임감이 강하고 꼼꼼하고 가스나 자물쇠를 몇 번 재확인하는 사람들은 대체로 남을 비난하기보다는 자신을 비난하고 죄책감을 잘 느낍니다.,1
1,책임감이 강한 사람은 우울증에 잘 걸린다는데 걱정입니다.,남들에게는 너그러우나 자신을 늘 나무라고 비난하는 성격이라면 우울증에 걸릴 소지가 다분히 있습니다.,1
2,책임감이 강한 사람은 우울증에 잘 걸린다는데 걱정입니다.,남에게 야단 맞아도 기분 나쁜데 자기가 자기를 늘 야단친다면 누군들 우울해지지 않겠습니까?,1
3,책임감이 강한 사람은 우울증에 잘 걸린다는데 걱정입니다.,"일반적으로 자존심이 낮고, 지나치게 양심적이고, 대인관계가 의존적이고, 지속적인 대인관계를 이루지 못하는 사람들에서 우울증이 잘 생깁니다.",1
4,노인성 우울증도 유전이 되나요?,"노년기 우울증의 경우, 유전적 요인은 큰 의미가 없는 것으로 알려지고 있습니다.",0
5,노인성 우울증도 유전이 되나요?,우울증의 초발 연령이 50세 이후와 그 이전인 환자의 직계 가족이 우울증에 이환될 위험도는 각각 8.3%와 20%로 보고된 바 있습니다.,0
6,현재 폭식증으로 너무 심한 고통을 받고 있는데 이 우울증은 따로 치료해야 할까요?,우울한 기분은 이상 식사 행동에 흔히 쫓아 오는 문제입니다.,1
7,현재 폭식증으로 너무 심한 고통을 받고 있는데 이 우울증은 따로 치료해야 할까요?,우울한 기분이 이상 식사 행동의 원인이 되기도 하고 이상 식사 행동의 결과로 나타나기도 합니다.,1
8,현재 폭식증으로 너무 심한 고통을 받고 있는데 이 우울증은 따로 치료해야 할까요?,심한 경우에는 이 문제를 이상 식사 행동 조절 전에 치료받아야 하는 경우도 있습니다.,1
9,현재 폭식증으로 너무 심한 고통을 받고 있는데 이 우울증은 따로 치료해야 할까요?,평가를 통해 약물치료가 필요하다면 약물치료를 받고 면담치료를 통해 이상 식사 행동의 수정에 앞서 우울증의 치료가 선행됩니다.,1
10,현재 폭식증으로 너무 심한 고통을 받고 있는데 이 우울증은 따로 치료해야 할까요?,식사 행동이 조절되면 우울증도 같이 없어지는 경우가 많습니다.,1
11,우울증 치료를 받고 증세가 좋아진줄알았는데 조증이라고 합니다. 왜 그럴까요?,항우울제의 사용으로 인해 조증이 유발될 수 있습니다.,0
12,우울증 치료를 받고 증세가 좋아진줄알았는데 조증이라고 합니다. 왜 그럴까요?,질병의 경과 중 우울증 다음에 조증이 나타나는 경우도 있습니다.,0
13,중풍에서 우울증이 많이 생기나요?,우울증이 많은 빈도에서 생깁니다.,0
14,중풍에서 우울증이 많이 생기나요?,중풍 환자의 1/3에서 2/3 정도가 우울증이 발생하는데 뇌의 손상이 뇌의 앞쪽(전두엽)에 가까울수록 심합니다.,0
15,중풍에서 우울증이 많이 생기나요?,좌측 뇌에 손상이 있을 경우 우울증이 더 많이 발생합니다.,0
16,중풍에서 우울증이 많이 생기나요?,우울증이 있을 경우의 증상은 힘이 없으며 의욕을 잃은 듯한 표정 및 행동을 보입니다.,0
17,중풍에서 우울증이 많이 생기나요?,우울증이 있을 경우의 증상은 잠을 자지 못하는 경우가 많으며 말없이 가만히 있는 경우가 많게 됩니다.,0
18,중풍에서 우울증이 많이 생기나요?,우울증이라면 재활치료를 하는 데 많은 장애를 초래하므로 심리치료 및 약물치료가 필요합니다.,0
19,제가 아는 사람은 안기부에서 자신을 감시한다고 불안해해서 입원했다는데 조증 치료를 받는다고 합니다. 어떻게 된 건가요?,"조증 시기에 편집증, 망상, 환각 등이 동반될 수 있는데 알고 계신대로 망상이 기분과 일치하는 과대적, 종교적, 성적인 경우가 많지만 드물게는 기분과 일치하지 않는 내용으로 나타날 수도 있습니다.",0
20,제가 아는 사람은 안기부에서 자신을 감시한다고 불안해해서 입원했다는데 조증 치료를 받는다고 합니다. 어떻게 된 건가요?,조증 시기에 겉으로 드러나는 망상은 피해적인 내용이지만 근본적으로 과대 망상이 있는 경우 이는 드러나지 않고 피해망상만 두드러지는 경우도 있을 수 있습니다.,0
21,제가 아는 사람은 안기부에서 자신을 감시한다고 불안해해서 입원했다는데 조증 치료를 받는다고 합니다. 어떻게 된 건가요?,자신이 대통령이기 때문에 북한에서 내려온 간첩들이 자신을 노리고 있다는 망상은 조증시기에 나타날 수 있습니다,0
22,제가 아는 사람은 안기부에서 자신을 감시한다고 불안해해서 입원했다는데 조증 치료를 받는다고 합니다. 어떻게 된 건가요?,나를 간첩으로 오해하여 안기부가 따라 다닌다는 정신분열병 경우와는 다릅니다.,0
23,남편의 우울증은 회복되었는데 소극적이고 사람만나는걸 힘들어해요,우울증으로부터 완치되었다는 것은 이와 같은 대인관계나 사회기능상에서도 병전 수준으로 거의 완전히 회복되었음을 의미합니다.,0
24,남편의 우울증은 회복되었는데 소극적이고 사람만나는걸 힘들어해요,병전 성격과 개인의 상황을 대처하는 방식에 따라 우울증의 후유증으로 대인관계나 사회기능상의 장애가 남을 수 있습니다.,0
25,남편의 우울증은 회복되었는데 소극적이고 사람만나는걸 힘들어해요,"이런 경우에는 상담치료나 카운셀링을 통해 도움 받을 수가 있으며, 가족이나 직장 등에서도 환자에게 너무 부담감을 주지 않는 것이 좋습니다.",0
26,남편의 우울증은 회복되었는데 소극적이고 사람만나는걸 힘들어해요,대부분의 경우 시간이 지나면 완전히 병전 수준으로 복귀할 수 있을 것입니다.,0
27,기억력이 떨어지는 것도 우울증의 증세인가요?,그렇습니다.,0
28,기억력이 떨어지는 것도 우울증의 증세인가요?,우울증에서는 집중력과 주의력이 감소하여 사소한 것을 쉽게 잊어버리는 등 기억력의 장애가 나타날 수 있습니다.,0
29,기억력이 떨어지는 것도 우울증의 증세인가요?,"심한 경우는 지남력의 장해, 무감동증 등의 증상이 나타날 수도 있으며, 이러한 기억력의 장애가 노인에게 나타나는 경우 치매와의 구별이 어려워질 때도 있습니다.",0
30,기억력이 떨어지는 것도 우울증의 증세인가요?,"노인에게서 기억력이 떨어지고 우울해하며 의욕이 없어지는 경우, 신경정신과 전문의를 찾아 치매에 의한 증상인지 우울증에 의한 증상인지를 감별하고 적절한 치료를 받으셔야 합니다.",0
31,월경 전이면 며칠씩 기분이 우울하고 예민해지는 데 이것도 우울증인가요?,"대부분의 월경주기에서 황체기의 마지막 주 동안에(월경 전에) 뚜렷한 우울기분, 불안, 기분 등요, 일상생활에서의 흥미 감소 등의 증상들이 규칙적으로 반복하여 발생하고 월경 시작 후 며칠 안에 회복되는 경우에는 월경전 증후군이라고 볼 수 있으며, 이것도 역시 우울증에 속합니다.",0
32,월경 전이면 며칠씩 기분이 우울하고 예민해지는 데 이것도 우울증인가요?,"월경 전 행동상의 변화는 먹는 방식이 달라질 수 있고, 도벽, 싸움질도 있으며, 신체적으로는 유방의 압통, 부종 등이 올 수 있습니다.",0
33,월경 전이면 며칠씩 기분이 우울하고 예민해지는 데 이것도 우울증인가요?,월경 전 증상들이 학교 또는 일상 활동을 뚜렷하게 방해할 만큼 상당히 심한 경우에는 병원에서 상담하여 치료방향을 의논하는 것이 좋습니다.,0
34,우울증도 치매와 비슷한 증상을 보일 수 있다고 하는데요. 사실인가요?,우울증이 심해지면 치매 환자가 보이는 모습을 모두 나타낼 수 있습니다.,0
35,우울증도 치매와 비슷한 증상을 보일 수 있다고 하는데요. 사실인가요?,노인성 우울증 증상 중 가장 특징적인 것은 치매유사증상을 동반하는 경우가 많다는 점입니다.,0
36,우울증도 치매와 비슷한 증상을 보일 수 있다고 하는데요. 사실인가요?,우울증에서 치매유사증상이 동반되는 경우를 '가성치매' 혹은 '우울증 치매증후군'이라고 합니다.,0
37,우울증도 치매와 비슷한 증상을 보일 수 있다고 하는데요. 사실인가요?,통계에 의하면 치매로 진단을 받은 환자의 20~32%가 가성치매인 것으로 보고된 바도 있습니다.,0
38,노인성 우울증은 어떻게 예방하나요 ?,"우울증의 예방법으로는 가능하면 규칙적인 일상생활(수면, 운동 등)을 매일 지속적으로 유지하는 것이 있습니다",0
39,노인성 우울증은 어떻게 예방하나요 ?,평소에 가장 즐기는 활동에 참여하여 대인 관계를 유지하세요,0
40,노인성 우울증은 어떻게 예방하나요 ?,힘든 일이나 마음속의 생각을 신뢰할 수 있는 가족의 일원이나 가까운 친구에게 자주 상의하세요,0
41,노인성 우울증은 어떻게 예방하나요 ?,과도한 알코올이나 습관성 약물 및 수면(낮잠 등)은 피하세요,0
42,노인성 우울증은 어떻게 예방하나요 ?,"매사에 의욕이 떨어지고, 우울한 기분이 2주 이상 지속한 경우는 신경정신과 전문의에게 곧바로 도움을 청하세요",0
43,노인성 우울증이 진행되면 치매가 되나요?,노인우울장애 환자의 다수에서 인지기능 장애나 치매가 나타나게 됩니다.,0
44,노인성 우울증이 진행되면 치매가 되나요?,보고에 의하면 3차 의료기관 신경정신과 병원에 입원한 노인 주요우울장애 환자들 중 약 40%가 치매의 진단기준에 부합되었다고 합니다.,0
45,노인성 우울증이 진행되면 치매가 되나요?,추적 관찰 결과 처음에 가역적인 치매로 진단받은 노인 우울증 환자는 1년 후에 9-22%의 비율로 치매에 걸리는 것으로 나타났습니다.,0
46,노인성 우울증은 남성과 여성의 발생비율에 차이가 있나요?,노인 역학 연구 조사에서 남성에 비해 여성에서 우울증의 빈도가 높은 것으로 나타나 성별이 우울증의 주요한 유발 요인으로 생각되었습니다.,0
47,노인성 우울증은 남성과 여성의 발생비율에 차이가 있나요?,대부분의 연구들은 여성의 경우 주요우울증의 유병률이 남성보다 1.5 내지 2.5배 더 높음을 시사하고 있습니다.,0
48,노인성 우울증은 남성과 여성의 발생비율에 차이가 있나요?,성별이 우울장애에 직접 영향을 준다기보다는 우울 증상이 표현되는 여러 사회적 인자들에 있어서 남녀 간에 차이가 존재하기 때문으로 알려졌습니다.,0
49,노인성 우울증에서 자살하는 경우가 많나요?,일반적으로 우울증 환자의 약 15%에서 자살을 시도하며 그중에서 약 10%는 결국 자살로 죽게 됩니다.,0
50,노인성 우울증에서 자살하는 경우가 많나요?,자살은 노인 인구에서 더 흔한 것으로 보고되고 있습니다.,0
51,노인성 우울증에서 자살하는 경우가 많나요?,노년기에서는 신체질병과 상실이 가장 흔한 자살유발 요인입니다.,0
52,노인성 우울증에서 자살하는 경우가 많나요?,우울증의 경우 치료를 하지 않는 경우 자살로 이어질 수 있는 중요한 병이기 때문에 지속적인 치료는 물론 예방적 치료에 더 많은 주의를 기울여야 합니다.,0
53,가성치매란 무엇입니까?,가성치매는 임상 양상은 치매와 비슷하나 뇌병변이 없는 기능성장애로 나타나는 경우를 말합니다.,0
54,가성치매란 무엇입니까?,"증상은 치매와 비슷하나 고통스러운 느낌, 장·단기 기억 모두 장애, 인지장애보다 일상 사회생활 및 대인관계는 비교적 원만한 경우를 말합니다.",0
55,가성치매란 무엇입니까?,"원인은 우울증이며, 치료경과 및 예후를 보면 항우울제에 의해 치료가 잘 됩니다.",0
56,노인성 우울증의 구체적인 항우울제에는 어떤 종류가 있습니까?,"삼환계 항우울제, 둘째, 선택적 세로토닌 재흡수 억제제, 셋째, 단가아민 산화효소 억제제 등 다양하게 있습니다.",0
57,노인성 우울증의 구체적인 항우울제에는 어떤 종류가 있습니까?,현재 이 중에서 비교적 광범위하게 사용되고 있는 것은 비교적 치료범위가 넓고 심각한 부작용이 적은 선택적 세로토닌 재흡수 억제제입니다.,0
58,노인성 우울증의 구체적인 항우울제에는 어떤 종류가 있습니까?,약물의 사용은 반드시 주치의사와 상의하셔야 합니다.,0
59,노인성 우울증의 구체적인 원인은 무엇인가요 ?,노인성 우울증은 다양한 요인에 의해 일어나며 원인 또한 다양합니다.,0
60,노인성 우울증의 구체적인 원인은 무엇인가요 ?,"일반적으로 노인의 생리적 변화, 여러 신체적 장애, 사회적 지지의 결여 및 생활양식의 변화 등이 노년기 우울증의 발병에 기여할 수 있습니다.",0
61,노인성 우울증의 구체적인 원인은 무엇인가요 ?,"구체적인 원인으로는 유전적 요인, 신경화학적 요인, 신경내분비의 변화 등 생물학적 지표가 알려지고 있으나 최근까지의 연구 결과는 구체적이고 특정적인 소견을 제시하지 못하고 있습니다.",0
62,노인 우울증의 특징을 알려 주십시오.,"불안, 초조, 고민이 강한 데 비해 우울감의 호소는 적다.",0
63,노인 우울증의 특징을 알려 주십시오.,정신운동의 억제는 적고 신체적 호소가 강하다.,0
64,노인 우울증의 특징을 알려 주십시오.,"망상이 나타나는 경우가 있다(빈곤, 죄책, 신체 망상).",0
65,노인 우울증의 특징을 알려 주십시오.,자살 우려가 자주 나타난다.,0
66,노인 우울증의 특징을 알려 주십시오.,"의식 혼탁, 섬망을 보이는 경우가 있다.",0
67,노인 우울증의 특징을 알려 주십시오.,"신체적 합병증을 가지는 경우가 많다. (예: 불면, 식욕부진, 변비, 전신권태, 체중감소, 현기증)",0
68,노인 우울증의 특징을 알려 주십시오.,지적 쇠약감이 나타나고 치매가 나타난 것으로 생각되는 경우도 있다(가성치매).,0
69,어머님이 아버님과 사별하신 후 매일 노인회관에서 화투를 치는데 괜찮은건가요?,노년기에 배우자의 상실은 남아있는 사람에게 큰 충격이 됩니다.,0
70,어머님이 아버님과 사별하신 후 매일 노인회관에서 화투를 치는데 괜찮은건가요?,이런 경우 가족들이 환자를 충분히 지지해 주는 환경이 필요합니다.,0
71,어머님이 아버님과 사별하신 후 매일 노인회관에서 화투를 치는데 괜찮은건가요?,많은 대화를 나누고 사소한 일에도 많은 관심을 주어서 자신의 존재가 무의미하지는 않다는 사실을 일깨워 주어야 합니다.,0
72,어머님이 아버님과 사별하신 후 매일 노인회관에서 화투를 치는데 괜찮은건가요?,어머님이 노인회관에 다니면서 다른 사람들과 대인 관계를 가진다는 것은 매우 바람직합니다.,0
73,어머님이 아버님과 사별하신 후 매일 노인회관에서 화투를 치는데 괜찮은건가요?,노름한다고 하더라도 그것이 큰돈이 오가는 것이 아니고 그냥 시간을 보내기 위한 것이라면 오히려 환자에게는 도움이 되리라고 여겨집니다.,0
74,저는 폭식을 하고 나면 죄책감이 들어요...우울하기도 하고요... 저만 이런 건가요..?,폭식하면 다음과 같은 일련의 생각들이 머릿속을 스쳐 지나가게 됩니다. '나는 나 자신을 조절할 수 없었다'라는 생각입니다.,1
75,저는 폭식을 하고 나면 죄책감이 들어요...우울하기도 하고요... 저만 이런 건가요..?,폭식하면 자신의 의지가 박약하다고 스스로를 비난하게 됩니다.,1
76,저는 폭식을 하고 나면 죄책감이 들어요...우울하기도 하고요... 저만 이런 건가요..?,폭식을 했으니 살이 찔 것이라는 두려움이 있을 수 있습니다,1
77,저는 폭식을 하고 나면 죄책감이 들어요...우울하기도 하고요... 저만 이런 건가요..?,다이어트는 폭식의 가장 큰 원인입니다.,1
78,저는 폭식을 하고 나면 죄책감이 들어요...우울하기도 하고요... 저만 이런 건가요..?,다이어트가 결과적으로 폭식을 불러일으킨다는 사실을 간과한 채 실패의 책임을 안으로 돌리 수 있습니다,1
79,저는 폭식을 하고 나면 죄책감이 들어요...우울하기도 하고요... 저만 이런 건가요..?,다이어트는 결과적으로 죄책감과 자신에 대한 증오감을 느끼게 합니다,1
80,저는 폭식을 하고 나면 죄책감이 들어요...우울하기도 하고요... 저만 이런 건가요..?,다이어트로 인해 체중이 더욱 늘지도 모른다는 생각이 우울증을 불러일으킵니다.,1
81,할머니가 맨날 머리가 아프다고 하세요. 낮이나 밤에는 별로 안 그러는데 아침에 유독 두통이 잦은 것 같아요. 왜 그런걸까요?,노인에게 급성두통은 위급한 질환으로 인한 경우가 많지만 이와 달리 만성두통은 대부분 생명을 위협하는 경우는 거의 없습니다.,0
82,할머니가 맨날 머리가 아프다고 하세요. 낮이나 밤에는 별로 안 그러는데 아침에 유독 두통이 잦은 것 같아요. 왜 그런걸까요?,아침에 잠에서 깼을 때 두통이 잘 온다면 우울증으로 인한 두통을 의심해볼 수 있습니다.,0
83,할머니가 맨날 머리가 아프다고 하세요. 낮이나 밤에는 별로 안 그러는데 아침에 유독 두통이 잦은 것 같아요. 왜 그런걸까요?,"노년기가 되면서 건강도 안 좋아지고 주변에서 배우자나 친구들이 하나둘씩 운명하고 자식 걱정, 집안 걱정, 돈 걱정, 남은 인생에 대한 절망감 등등이 원인이 되어 오는 두통입니다.",0
84,할머니가 맨날 머리가 아프다고 하세요. 낮이나 밤에는 별로 안 그러는데 아침에 유독 두통이 잦은 것 같아요. 왜 그런걸까요?,기분이 우울하고 만사가 귀찮아지면서 오는 우울성 두통인 경우는 얼마 동안은 우울증 약물치료를 받아야 두통이 없어집니다.,0
85,할머니가 맨날 머리가 아프다고 하세요. 낮이나 밤에는 별로 안 그러는데 아침에 유독 두통이 잦은 것 같아요. 왜 그런걸까요?,우울증약은 알고 계신 것처럼 습관성이 생기는 약이 아니므로 선입관을 갖지 마시고 의사의 처방을 받아서 복용하시는 게 좋습니다.,0
86,불면증을 일으키는 정신질환에는 어떤 것이 있나요?,대표적인 것이 우울증입니다.,0
87,불면증을 일으키는 정신질환에는 어떤 것이 있나요?,우울증 환자는 대부분 새벽에 일찍 깨어나 다시 잠들기 힘든 경우가 많은데 반대로 15~20%의 환자는 잠이 더 늘어나기도 합니다.,0
88,불면증을 일으키는 정신질환에는 어떤 것이 있나요?,"신체형 장애, 알코올을 비롯한 약물사용 장애, 불안장애, 기질성 정신장애, 공포 장애, 강박 장애, 조현병, 조울증 등에서 불면증이 동반될 수 있습니다.",0
89,불면증을 일으키는 정신질환에는 어떤 것이 있나요?,대부분의 정신 질환은 불면증이 악화되면서 병도 심해지는 경향을 보입니다.,0
90,불면증을 일으키는 정신질환에는 어떤 것이 있나요?,불면증과 정신질환은 매우 밀접한 관련이 있으므로 불면증이 지속되는 경우 정밀한 정신건강의학과적 진찰을 받는 것이 매우 중요합니다.,0
91,누구나 정도의 차이는 있지만 우울증이 있지 않습니까?그런데 어느정도까지가 우울증으로 진단되고 치료를 필요로 하는지 궁금합니다.,"우울한 기분은 정상인도 느낄 수 있지만, 학업이나 가정생활, 직장생활 등에 지장을 초래할 정도라면 우울증을 고려해봐야 합니다.",0
92,우울증이 있다가 조증으로 상태가 바뀌는 원인이 무엇입니까?,심리학적으로는 조증상태란 오랜 우울증에 대한 보상성 반응이라고 합니다.,0
93,우울증이 있다가 조증으로 상태가 바뀌는 원인이 무엇입니까?,조증상태가 나타나는 이유는 우울상태가 바닥으로 떨어져 더 이상 내려갈 수 없을 때 반동으로 바닥을 치며 위로 떠올라오기 때문이라고 합니다.,0
94,우울증이 있다가 조증으로 상태가 바뀌는 원인이 무엇입니까?,"약물에 의한 경우, 신체호르몬의 변화에 의한 경우 등의 여러 가지 원인이 있습니다.",0
95,일주일 이상도 지금은 거의 못자고 있으니까 밥맛도 없고 하루종일 누워서 자 보려고 하고 있습니다 한약도 먹었는데 그때 뿐 지금은 삶자체를 포기하고 싶을때가 있습니다 지금 저는 어떻게 해야 되겠습니까?,"현재 상담자께서 가지고 계신 증상은 불면증뿐만 아니라 식욕부진, 무기력, 의욕저하, 허무감, 자살사고, 죄책감 등의 증상도 함게 동반된 것 같습니다.",0
96,일주일 이상도 지금은 거의 못자고 있으니까 밥맛도 없고 하루종일 누워서 자 보려고 하고 있습니다 한약도 먹었는데 그때 뿐 지금은 삶자체를 포기하고 싶을때가 있습니다 지금 저는 어떻게 해야 되겠습니까?,해당 증상들은 '주요우울증'이라는 정신건강의학과 질환에 대표적으로 나타나는 증상들입니다.,0
97,일주일 이상도 지금은 거의 못자고 있으니까 밥맛도 없고 하루종일 누워서 자 보려고 하고 있습니다 한약도 먹었는데 그때 뿐 지금은 삶자체를 포기하고 싶을때가 있습니다 지금 저는 어떻게 해야 되겠습니까?,지금이라도 정신건강의학과 치료를 받으셔야 하는 중요한 병입니다.,0
98,일주일 이상도 지금은 거의 못자고 있으니까 밥맛도 없고 하루종일 누워서 자 보려고 하고 있습니다 한약도 먹었는데 그때 뿐 지금은 삶자체를 포기하고 싶을때가 있습니다 지금 저는 어떻게 해야 되겠습니까?,가까운 시일 내에 정신건강의학과 병원을 방문하십시오.,0
99,"다이어트에 실패하고 나면 심한 좌절감과 무력감, 우울감을 느낍니다. 나는 자제력이 없고 의지가 박약한 사람인가요?","일단 그러한 생각이 들면 누구나 좌절감이 오고, 우울해지는 것이 상례입니다.",1
100,"다이어트에 실패하고 나면 심한 좌절감과 무력감, 우울감을 느낍니다. 나는 자제력이 없고 의지가 박약한 사람인가요?",중요한 사실은 어떠한 다이어트를 하고 있느냐 하는 것을 곰곰이 따져볼 필요가 있습니다.,1
101,"다이어트에 실패하고 나면 심한 좌절감과 무력감, 우울감을 느낍니다. 나는 자제력이 없고 의지가 박약한 사람인가요?","현재 자신이 하고 있는 다이어트를 오랫동안 유지할 수 있는가, 즉 현실적으로 가능한 것인가를 살펴보아야 합니다.",1
102,"다이어트에 실패하고 나면 심한 좌절감과 무력감, 우울감을 느낍니다. 나는 자제력이 없고 의지가 박약한 사람인가요?",절대로 인위적인 체중 조절은 합리성이 결여 되어 있을 경우 생리적 욕구를 이겨낼 수는 없습니다.,1
103,"다이어트에 실패하고 나면 심한 좌절감과 무력감, 우울감을 느낍니다. 나는 자제력이 없고 의지가 박약한 사람인가요?",인간은 살아남기 위해 오랜 세월 진화되어 왔습니다.,1
104,"다이어트에 실패하고 나면 심한 좌절감과 무력감, 우울감을 느낍니다. 나는 자제력이 없고 의지가 박약한 사람인가요?",먹고 남은 에너지는 체지방으로 저장하는 지혜도 배웠지요.,1
105,"다이어트에 실패하고 나면 심한 좌절감과 무력감, 우울감을 느낍니다. 나는 자제력이 없고 의지가 박약한 사람인가요?",이러한 현상은 유전적인 정보로 세대를 넘어서 전달되어 왔습니다.,1
106,"다이어트에 실패하고 나면 심한 좌절감과 무력감, 우울감을 느낍니다. 나는 자제력이 없고 의지가 박약한 사람인가요?",즉 인류는 남는 에너지를 먹지 못하는 힘든 시기를 대비하여 저장하도록 유전적으로 운명지어진 것입니다.,1
107,"다이어트에 실패하고 나면 심한 좌절감과 무력감, 우울감을 느낍니다. 나는 자제력이 없고 의지가 박약한 사람인가요?",이러한 운명을 거스르는 다이어트는 필연적으로 실패할 수밖에 없습니다.,1
108,"다이어트에 실패하고 나면 심한 좌절감과 무력감, 우울감을 느낍니다. 나는 자제력이 없고 의지가 박약한 사람인가요?",자신을 탓하지 말고 합리적인 다이어트를 위해 노력하십시오.,1
109,"다이어트에 실패하고 나면 심한 좌절감과 무력감, 우울감을 느낍니다. 나는 자제력이 없고 의지가 박약한 사람인가요?",진정으로 체중 조절을 원한다면 자신의 생활습관이 바뀌지 않으면 안됩니다.,1
110,"다이어트에 실패하고 나면 심한 좌절감과 무력감, 우울감을 느낍니다. 나는 자제력이 없고 의지가 박약한 사람인가요?",적절한 칼로리를 3번에 나누어 배가 고프지 않도록 하는 다이어트를 하여야 합니다.,1
111,"다이어트에 실패하고 나면 심한 좌절감과 무력감, 우울감을 느낍니다. 나는 자제력이 없고 의지가 박약한 사람인가요?",위를 비워두면 음식물에 대한 감수성은 필연적으로 올라갑니다.,1
112,"다이어트에 실패하고 나면 심한 좌절감과 무력감, 우울감을 느낍니다. 나는 자제력이 없고 의지가 박약한 사람인가요?",위를 비워두면 폭식의 가능성이 높아진다는 이야기입니다.,1
113,항우울제의 부작용은 뭐가 있나요? 그리고 부작용이 나타났을 때 대처방법 같은 것도 알려주세요,졸리움이 있을 때에는 곧 없어짐으로 염려는 마시되 가능한 운전이나 중장비를 다루는 일은 삼가시는 것이 좋습니다.,0
114,항우울제의 부작용은 뭐가 있나요? 그리고 부작용이 나타났을 때 대처방법 같은 것도 알려주세요,최근에 처방되는 항우울제들은 이전의 약물과는 달리 심한 심혈관계 부작용 및 진정작용은 없는 비교적 안전한 것으로 알려져 있습니다.,0
115,항우울제의 부작용은 뭐가 있나요? 그리고 부작용이 나타났을 때 대처방법 같은 것도 알려주세요,"일반적으로 장기간 사용하는 경우 수면장애, 운동장애, 소화장애 및 불안, 졸리움 또는 간혹 성기능 등의 부작용이 있을 수 있습니다.",0
116,항우울제의 부작용은 뭐가 있나요? 그리고 부작용이 나타났을 때 대처방법 같은 것도 알려주세요,만약 부작용으로 느껴지는 증상이 있다면 아래 내용을 참고하시기 바랍니다.-입마름이 지속되면 물을 많이 마시거나 껌을 씹으십시오.,0
117,항우울제의 부작용은 뭐가 있나요? 그리고 부작용이 나타났을 때 대처방법 같은 것도 알려주세요,어지러움 증세가 나타날 때는 침대나 의자에서 천천히 일어나십시오.,0
118,항우울제의 부작용은 뭐가 있나요? 그리고 부작용이 나타났을 때 대처방법 같은 것도 알려주세요,"두통, 메스꺼움, 불편감은 약물 사용 특히 처음 1-2 주 사이에 나타날 수 있으나, 곧 없어지므로 큰 염려를 하실 필요는 없습니다.",0
119,항우울제의 부작용은 뭐가 있나요? 그리고 부작용이 나타났을 때 대처방법 같은 것도 알려주세요,만일 지속적으로 발기부전 등의 성기능 장애로 인한 성생활에 지장이 있을 때는 주치의사와 상의토록 하십시오.,0
120,치매와 우울증이 같이 오기도 합니까?,같이 동반되는 경우도 많습니다.,0
121,치매와 우울증이 같이 오기도 합니까?,그러나 우울증으로 인하여 기억력이 감퇴되고 치매처럼 보이는 경우도 많습니다.,0
122,치매와 우울증이 같이 오기도 합니까?,우울증을 치료하면 치매증세가 좋아지는 가성치매인 경우도 있습니다.,0
123,치매와 우울증이 같이 오기도 합니까?,정확한 진단이 필요합니다.,0
124,성적 때문에 우울증이 생기기도 합니까?,기대하던 성적과 실제의 성적사이에 격차가 크면 클수록 좌절감이 커집니다.,0
125,성적 때문에 우울증이 생기기도 합니까?,좌절감을 느끼고 앞으로의 희망이 보이지 않을 때 우울상태로 빠져 자살로 이르기도 합니다.,0
126,최근에 70세 된 아버님께서 방금 전 에 하시던 일을 쉽게 잊어버리시고다른 사람이 자신의 물건을 훔쳐 간다라며 짜증을 내거나 물건을 집어던지기도 해요. 그러면서 잠시도 가만히 있지 못하고 초조해하며 항상 긴장이 되어 있어요. 무슨 병이 있는 거 아닐까요 ?,정상적인 노화 과정에서도 기억력의 감소를 포함하여 여러 부분이 지적 기능감소가 나타날 수 있고 모든 형태의 정보 처리 과정이 느려지게 됩니다.,1
